# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.2
#@/tick	42928
#@/user_id	ab7a14e5-ae21-41f1-b36e-b856550d5341
a 	啊	c=63 d=0.402358 t=42928
yi zhi 	一致	c=12 d=0.597501 t=42928
yi zhong 	一種	c=3 d=1.33932e-20 t=42928
yi zhou 	一週	c=1 d=6.60073e-55 t=42928
yi zhua 	一抓	c=2 d=0.000157919 t=42928
yi zi 	椅子	c=3 d=6.54336e-13 t=42928
yi zu 	一組	c=1 d=4.25052e-24 t=42928
yin 	因	c=2 d=2.91396e-73 t=42928
yin 	隱	c=1 d=2.24898e-35 t=42928
yin 	音	c=1 d=2.82116e-84 t=42928
yin cang 	隱藏	c=12 d=6.53773e-40 t=42928
yin ci 	因此	c=3 d=2.88677e-31 t=42928
yin hang 	銀行	c=2 d=5.38311e-09 t=42928
yin hao 	引號	c=1 d=3.92573e-30 t=42928
yin qi 	引起	c=6 d=6.67204e-05 t=42928
yin ru 	引入	c=3 d=0.125556 t=42928
yin wei 	因爲	c=58 d=0.278394 t=42928
yin xiang 	印象	c=0 d=4.71774e-46 t=42928
yin xing 	音型	c=1 d=2.8638e-84 t=42928
yin xing 	音形	c=3 d=4.70084e-60 t=42928
ying 	應	c=2 d=6.6079e-09 t=42928
ying 	硬	c=0 d=5.99538e-42 t=42928
ying bian ma 	硬編碼	c=2 d=1.78598e-29 t=42928
ying dang 	應當	c=3 d=8.78515e-36 t=42928
ying dao 	應到	c=1 d=5.68904e-71 t=42928
ying dui 	應對	c=1 d=7.93376e-72 t=42928
ying fei ni di 	英菲尼迪	c=1 d=1.65457e-71 t=42928
ying gai 	應該	c=91 d=0.218119 t=42928
ying gai hai shi 	應該還是	c=1 d=1.11313e-55 t=42928
ying guo 	英國	c=1 d=1.25092e-75 t=42928
ying jian 	硬件	c=2 d=9.50695e-09 t=42928
ying jie sheng 	應屆生	c=2 d=3.32034e-81 t=42928
ying jing 	應景	c=1 d=1.36528e-16 t=42928
ying she 	映射	c=1 d=3.64443e-67 t=42928
ying wen 	英文	c=2 d=1.83988e-77 t=42928
ying xiang 	影響	c=27 d=0.209222 t=42928
ying xiang li 	影響力	c=1 d=4.80879e-64 t=42928
ying xing 	硬性	c=1 d=6.18763e-30 t=42928
ying yong 	應用	c=9 d=0.379083 t=42928
ying yu 	英語	c=2 d=6.70755e-38 t=42928
yong 	用	c=198 d=0.953327 t=42928
yong bu qi lai 	用不起來	c=1 d=1 t=41854
yong bu shang 	用不上	c=1 d=1.2811e-32 t=42928
yong bu yong 	用不用	c=1 d=2.59276e-32 t=42928
yong dao 	用到	c=3 d=2.15119e-12 t=42928
yong de 	用的	c=5 d=8.6113e-05 t=42928
yong de shi hou 	用的時候	c=1 d=1.60343e-84 t=42928
yong de zhao 	用得着	c=1 d=1.14645e-49 t=42928
yong du 	擁堵	c=1 d=3.85521e-52 t=42928
yong fa 	用法	c=3 d=8.39215e-66 t=42928
yong feng 	永豐	c=6 d=1.36238 t=42928
yong ge 	勇哥	c=3 d=1.21676e-14 t=42928
yong guo 	用過	c=3 d=1.23217e-15 t=42928
yong hu 	用戶	c=149 d=0.074614 t=42928
yong hu de 	用戶的	c=1 d=2.96246e-12 t=42928
yong hu ming 	用戶名	c=5 d=9.28691e-13 t=42928
yong hu shi 	用戶是	c=1 d=1.32787e-42 t=42928
yong hu zu 	用戶組	c=1 d=6.33847e-78 t=42928
yong kai 	用開	c=1 d=1.07895e-41 t=42928
yong kong jian 	用空間	c=1 d=1 t=40879
yong lai 	用來	c=4 d=2.26264e-18 t=42928
yong le 	永樂	c=1 d=3.1553e-48 t=42928
yong le 	用了	c=1 d=3.17112e-48 t=42928
yong mei yong 	用沒用	c=1 d=5.63166e-40 t=42928
yong qi 	勇氣	c=1 d=3.19679e-84 t=42928
yong qi lai 	用起來	c=1 d=2.18542e-80 t=42928
yong rui 	永瑞	c=4 d=3.90316e-11 t=42928
yong shang 	用上	c=2 d=5.52014e-40 t=42928
yong shou 	用手	c=1 d=5.85869e-05 t=42928
yong yu 	用於	c=35 d=7.15703e-07 t=42928
yong yuan 	永遠	c=5 d=1.28318e-05 t=42928
you 	又	c=52 d=0.00722751 t=42928
you 	友	c=5 d=1.53166e-10 t=42928
you 	有	c=244 d=2.30495 t=42928
you 	由	c=20 d=6.96349e-08 t=42928
you bang zhu 	有幫助	c=1 d=1.01508e-29 t=42928
you bei 	又被	c=1 d=4.1743e-17 t=42928
you bi yao 	有必要	c=3 d=5.97481e-30 t=42928
you bian 	右邊	c=1 d=7.11845e-61 t=42928
you dai 	有待	c=1 d=0.00179994 t=42928
you dao 	有道	c=1 d=1.33044e-06 t=42928
you dao li 	有道理	c=0 d=5.38752e-49 t=42928
you de 	有的	c=4 d=9.03574e-05 t=42928
you dian 	有點	c=16 d=0.0898153 t=42928
you dian da 	有點大	c=1 d=1.03232e-80 t=42928
you dian duo 	有掂掇	c=1 d=2.20056e-73 t=42928
you dian duo yu 	有點多餘	c=1 d=1 t=41207
you dian xuan 	有點選	c=1 d=8.86533e-84 t=42928
you er yuan 	幼兒園	c=4 d=4.90109e-23 t=42928
you feng 	有風	c=1 d=6.1363e-79 t=42928
you ge 	有個	c=15 d=0.0733913 t=42928
you guan 	有關	c=1 d=7.47809e-82 t=42928
you guan xi 	有關係	c=3 d=0.226502 t=42928
you hai 	有害	c=2 d=3.60692e-43 t=42928
you hai xin xi 	有害信息	c=1 d=1.0279e-59 t=42928
you hai xin xi ku 	有害信息庫	c=6 d=2.52926e-05 t=42928
you hao 	友好	c=1 d=4.55223e-66 t=42928
you hao 	油耗	c=4 d=1.96202e-51 t=42928
you hua 	優化	c=25 d=0.446842 t=42928
you ji 	郵寄	c=1 d=7.40668e-28 t=42928
you jian 	郵件	c=41 d=0.634448 t=42928
you jian zu 	郵件組	c=1 d=7.94373e-28 t=42928
you ke neng 	有可能	c=2 d=4.56338e-36 t=42928
you le 	有了	c=3 d=1.5974e-45 t=42928
you mei you 	有沒有	c=18 d=0.910071 t=42928
you ni 	油膩	c=1 d=1.34354e-33 t=42928
you qu bie 	有區別	c=1 d=1.80259e-79 t=42928
you ren 	有人	c=3 d=0.909373 t=42928
you sha 	有啥	c=1 d=1 t=39799
you shang jiao 	右上角	c=3 d=4.36346e-10 t=42928
you shang jiao yi ding 	右上角一定	c=1 d=4.38533e-09 t=42928
you shen me 	有什麼	c=13 d=7.11863e-07 t=42928
you shen me yang 	有什麼樣	c=1 d=2.51469e-84 t=42928
you shen me yong 	有什麼用	c=1 d=8.19235e-67 t=42928
you shi 	有事	c=2 d=1.26948e-13 t=42928
you shi 	有時	c=1 d=0.341298 t=42928
you shi er 	有事兒	c=3 d=2.87032e-53 t=42928
you shi hou 	有時候	c=3 d=0.548812 t=42928
you shi jian 	有時間	c=13 d=0.000437479 t=42928
you shi jian ma 	有時間嗎	c=3 d=4.255e-07 t=42928
you tong yang 	有同樣	c=1 d=0.362402 t=42928
you wen ti 	有問題	c=36 d=0.0252263 t=42928
you xian gong si 	有限公司	c=1 d=2.50145e-22 t=42928
you xian ji 	優先級	c=22 d=5.4551e-10 t=42928
you xiang 	郵箱	c=9 d=0.740818 t=42928
you xiang qian zhui 	郵箱前綴	c=1 d=1.92332e-77 t=42928
you xiao 	有效	c=2 d=6.14864e-14 t=42928
you xiao xing 	有效性	c=1 d=1 t=39913
you xie 	有些	c=6 d=0.0107807 t=42928
you xing qu 	有興趣	c=2 d=2.97064e-15 t=42928
you ya 	優雅	c=4 d=2.07832e-21 t=42928
you yao 	又要	c=4 d=1.05106e-27 t=42928
you yi ci 	有一次	c=1 d=4.28129e-50 t=42928
you yi hang 	有一行	c=1 d=1.18438e-79 t=42928
you yi si 	有意思	c=1 d=4.57456e-06 t=42928
you yi xie 	有一些	c=1 d=4.41858e-39 t=42928
you yong 	游泳	c=2 d=2.41796e-05 t=42928
you yu 	由於	c=12 d=0.628621 t=42928
you zhe ge shi er 	有這個事兒	c=1 d=1.86235e-51 t=42928
yu 	於	c=7 d=0.744242 t=42928
yu 	與	c=6 d=0.0391639 t=42928
yu 	魚	c=1 d=4.01335e-25 t=42928
yu chu li 	預處理	c=2 d=1.30877e-48 t=42928
yu dao 	遇到	c=6 d=0.000244949 t=42928
yu e 	餘額	c=0 d=4.66161e-74 t=42928
yu e bao 	餘額包	c=1 d=2.33663e-73 t=42928
yu e bao 	餘額寶	c=1 d=2.34835e-73 t=42928
yu fa 	語法	c=3 d=9.40011e-24 t=42928
yu gu 	預估	c=3 d=2.81981e-49 t=42928
yu hong 	餘紅	c=1 d=3.47142e-83 t=42928
yu ji 	預計	c=32 d=1.95614e-07 t=42928
yu ji shi 	預計是	c=1 d=1.71741e-39 t=42928
yu jing 	預警	c=6 d=1.18426e-19 t=42928
yu ju 	語句	c=1 d=1.2029e-85 t=42928
yu kuai 	愉快	c=1 d=1.31618e-85 t=42928
yu mi 	玉米	c=1 d=2.68411e-57 t=42928
yu ming 	域名	c=7 d=0.818731 t=42928
yu peng 	玉鵬	c=2 d=2.5873e-66 t=42928
yu qi 	預期	c=10 d=0.00155824 t=42928
yu yan 	語言	c=13 d=0.0352901 t=42928
yu yan 	雨燕	c=1 d=1 t=40650
yu yan 	預研	c=6 d=4.51203 t=42172
yu zhao 	玉朝	c=30 d=0.0742736 t=42928
yu zhi 	閾值	c=1 d=1.52429e-18 t=42928
yu zhi 	預知	c=1 d=1.95411e-58 t=42928
yuan 	原	c=7 d=0.0023935 t=42928
yuan 	員	c=1 d=3.99198e-21 t=42928
yuan 	園	c=2 d=1.43939e-22 t=42928
yuan 	源	c=5 d=8.6135e-22 t=42928
yuan 	遠	c=1 d=8.32662e-23 t=42928
yuan ban 	原版	c=1 d=1.19938e-80 t=42928
yuan cheng 	遠程	c=6 d=4.53776e-28 t=42928
yuan dai ma 	源代碼	c=1 d=4.33639e-24 t=42928
yuan dao 	原道	c=1 d=4.66127e-21 t=42928
yuan gong 	員工	c=6 d=5.37292e-16 t=42928
yuan lai 	原來	c=26 d=0.180228 t=42928
yuan li 	原理	c=0 d=2.78985e-42 t=42928
yuan li yi yang 	原理一樣	c=1 d=2.80384e-41 t=42928
yuan ma 	源碼	c=9 d=0.932394 t=42928
yuan ming yuan 	圓明園	c=1 d=5.60625e-75 t=42928
yuan sheng 	原生	c=2 d=1.44872e-08 t=42928
yuan sheng 	原聲	c=1 d=3.37833e-28 t=42928
yuan shi 	原始	c=1 d=8.00856e-07 t=42928
yuan shi wen jian 	原始文件	c=1 d=1 t=40582
yuan su 	元素	c=4 d=2.53176e-46 t=42928
yuan wen 	原文	c=1 d=1.51979e-42 t=42928
yuan xiao 	院校	c=1 d=2.84485e-06 t=42928
yuan yin 	原因	c=12 d=0.021068 t=42928
yuan yin hai zai cha 	原因還在查	c=1 d=1.26246e-36 t=42928
yuan you 	原有	c=3 d=0.50409 t=42928
yuan ze 	原則	c=3 d=6.54549e-15 t=42928
yuan zhang 	園長	c=3 d=1.23872e-42 t=42928
yue 	岳	c=1 d=8.03313e-42 t=42928
yue 	曰	c=1 d=7.99306e-42 t=42928
yue 	月	c=29 d=0.00130998 t=42928
yue 	約	c=3 d=0.0081887 t=42928
yue 	越	c=2 d=0.000893825 t=42928
yue chang 	越長	c=2 d=0.000863083 t=42928
yue da 	越大	c=3 d=2.45057e-41 t=42928
yue ding su cheng 	約定俗成	c=2 d=5.2383e-70 t=42928
yue du 	閱讀	c=1 d=9.33734e-26 t=42928
yue du qi 	閱讀器	c=1 d=6.64081e-38 t=42928
yue du yuan ma 	閱讀源碼	c=1 d=6.50267e-26 t=42928
yue duo 	越多	c=3 d=0.002053 t=42928
yue fen 	月份	c=2 d=3.36263e-32 t=42928
yue jia 	越加	c=1 d=4.31844e-34 t=42928
yue lai 	越來	c=2 d=0.00204276 t=42928
yue lai yue 	越來越	c=0 d=0.0115325 t=42928
yue lai yue jin 	越來越近	c=1 d=5.73059e-39 t=42928
yue lai yue zhong 	越來越重	c=1 d=1 t=42497
yue le 	約了	c=1 d=1 t=41755
yue man 	粵慢	c=1 d=1 t=41523
yue neng 	越能	c=1 d=8.98095e-60 t=42928
yun 	雲	c=1 d=2.23527e-77 t=42928
yun chen 	雲晨	c=2 d=4.74154e-16 t=42928
yun fei 	運費	c=1 d=1 t=40182
yun han 	蘊含	c=1 d=5.80594e-75 t=42928
yun wei 	運維	c=17 d=0.0224105 t=42928
yun xing 	運行	c=1 d=8.99989e-26 t=42928
yun ying 	運營	c=32 d=0.591555 t=42928
yun ying xian 	運營線	c=1 d=8.30909e-57 t=42928
za 	咋	c=15 d=0.360045 t=42928
za ban 	咋辦	c=2 d=4.85232e-23 t=42928
za shuo 	雜說	c=1 d=2.40043e-37 t=42928
za yang 	咋樣	c=6 d=1.08104e-05 t=42928
zai 	再	c=134 d=0.0912684 t=42928
zai 	在	c=326 d=2.02888 t=42928
zai ci 	再次	c=1 d=1 t=39915
zai cong 	再從	c=1 d=4.02635e-63 t=42928
zai deng 	再等	c=1 d=6.6124e-17 t=42928
zai gai 	再改	c=1 d=1.01895e-15 t=42928
zai jia 	再加	c=1 d=1.93269e-46 t=42928
zai jia 	在家	c=3 d=1.31984e-05 t=42928
zai jia ban 	在加班	c=1 d=1.63872e-46 t=42928
zai kan 	再看	c=1 d=1.73621e-20 t=42928
zai na 	在哪	c=0 d=4.51936e-70 t=42928
zai na er 	在哪兒	c=12 d=1.23446e-05 t=42928
zai na er 	在那兒	c=2 d=2.60673e-07 t=42928
zai na er gong zuo 	在哪兒工作	c=1 d=1.58488e-06 t=42928
zai na li 	在哪裏	c=2 d=0.955997 t=42928
zai ne 	在呢	c=1 d=1.47869e-43 t=42928
zai qu 	再去	c=1 d=3.18332e-05 t=42928
zai shang 	再上	c=1 d=7.14562e-47 t=42928
zai wo 	在我	c=1 d=1 t=39404
zai xiang 	在想	c=1 d=5.12406e-17 t=42928
zai ye 	再也	c=1 d=1.83849e-17 t=42928
zai you 	再有	c=1 d=0.000660453 t=42928
zai you ren 	再有人	c=1 d=1 t=41925
zai yu 	在於	c=5 d=1.5081e-10 t=42928
zai zhe 	在這	c=3 d=0.000159256 t=42928
zan 	咱	c=3 d=0.00882647 t=42928
zan cun 	暫存	c=1 d=3.73681e-38 t=42928
zan de 	咱的	c=1 d=1 t=41487
zan ju chang 	咱劇場	c=1 d=9.84681e-84 t=42928
zan men 	咱們	c=6 d=3.62329e-28 t=42928
zan shi 	暫時	c=14 d=0.000133862 t=42928
zan ting 	暫停	c=5 d=3.3471e-07 t=42928
zan ye 	咱也	c=1 d=6.77287e-05 t=42928
zao 	早	c=1 d=1 t=41773
zao 	造	c=7 d=0.000407364 t=42928
zao can 	早餐	c=0 d=4.9342e-15 t=42928
zao can ji 	早餐機	c=1 d=4.95894e-14 t=42928
zao cheng 	造成	c=1 d=2.0033e-27 t=42928
zao dian 	早點	c=2 d=8.85233e-09 t=42928
zao dian hui jia 	早點回家	c=1 d=8.8967e-08 t=42928
zao dian shui 	早點睡	c=1 d=1.77974e-76 t=42928
zao dian shui 	造點水	c=1 d=1.77086e-76 t=42928
zao dian shuo 	早點說	c=1 d=3.55892e-23 t=42928
zao jiu 	早就	c=2 d=1.51772e-26 t=42928
zao shang 	早上	c=12 d=0.00449405 t=42928
zao shuo 	早說	c=1 d=1.91509e-56 t=42928
zao wan 	早晚	c=1 d=2.27669e-32 t=42928
zao yu 	早於	c=1 d=3.5106e-68 t=42928
zao zui 	遭罪	c=1 d=9.78167e-06 t=42928
ze 	則	c=10 d=1.686e-07 t=42928
ze ren 	責任	c=1 d=1.85218e-16 t=42928
zen 	怎	c=1 d=1.95384e-27 t=42928
zen en 	怎嗯	c=1 d=3.41984e-54 t=42928
zen me 	怎麼	c=80 d=0.119302 t=42928
zen me ban 	怎麼辦	c=2 d=0.00673795 t=42928
zen me hui shi 	怎麼回事	c=0 d=6.83214e-79 t=42928
zen me hui shi er 	怎麼回事兒	c=1 d=6.86638e-78 t=42928
zen me xian zhi 	怎麼限制	c=1 d=4.17474e-77 t=42928
zen me yang 	怎麼樣	c=7 d=1.96365e-27 t=42928
zen yang 	怎樣	c=1 d=2.49611e-85 t=42928
zeng duo 	增多	c=1 d=1 t=40736
zeng jia 	增加	c=18 d=0.287941 t=42928
zeng shan 	增刪	c=1 d=6.84399e-69 t=42928
zha dan 	炸彈	c=1 d=2.08216e-40 t=42928
zha xin 	扎心	c=1 d=1.52642e-05 t=42928
zhai 	摘	c=1 d=7.19781e-15 t=42928
zhai 	窄	c=1 d=2.11405e-13 t=42928
zhan 	佔	c=2 d=2.09478e-41 t=42928
zhan de 	站得	c=2 d=1.52767e-44 t=42928
zhan guo 	戰果	c=1 d=5.83008e-65 t=42928
zhan kai 	展開	c=2 d=5.24531e-18 t=42928
zhan pin 	展品	c=1 d=7.07716e-22 t=42928
zhan shi 	展示	c=66 d=0.708334 t=42928
zhan shi qu 	展示區	c=1 d=1.0105e-64 t=42928
zhan tie 	粘貼	c=1 d=2.05535e-64 t=42928
zhan yong 	佔用	c=7 d=0.0509156 t=42928
zhan yong liang 	佔用量	c=1 d=0.511709 t=42928
zhang 	張	c=3 d=1.02802e-17 t=42928
zhang da 	張大	c=0 d=7.03325e-38 t=42928
zhang da shi 	張大師	c=2 d=2.48855e-20 t=42928
zhang hao 	帳號	c=9 d=1.55113e-11 t=42928
zhang hu 	賬戶	c=1 d=1.63928e-50 t=42928
zhang jia 	漲價	c=1 d=0.00194013 t=42928
zhang lei 	張磊	c=3 d=0.884591 t=42928
zhang lin 	張霖	c=2 d=5.0478e-75 t=42928
zhang ting 	張婷	c=1 d=1.52611e-32 t=42928
zhang ting ting 	張聽聽	c=1 d=7.56813e-17 t=42928
zhao 	找	c=39 d=0.0230532 t=42928
zhao bu dao 	找不到	c=3 d=1.58321e-23 t=42928
zhao dao 	找到	c=12 d=0.0298969 t=42928
zhao ge 	找個	c=5 d=1.49895e-25 t=42928
zhao gu 	照顧	c=1 d=1.66983e-32 t=42928
zhao hui 	召回	c=8 d=0.00121259 t=42928
zhao ji 	着急	c=4 d=2.19826e-26 t=42928
zhao ni 	找你	c=5 d=3.95241e-44 t=42928
zhao pian 	照片	c=1 d=1.32174e-17 t=42928
zhao shui 	找誰	c=3 d=1.21341e-11 t=42928
zhao ta 	找他	c=4 d=0.000122877 t=42928
zhao ta 	找她	c=1 d=1.03714e-76 t=42928
zhao ta men 	找他們	c=1 d=2.3306e-72 t=42928
zhao wo 	找我	c=11 d=6.61665e-07 t=42928
zhao zhao 	找找	c=2 d=1.85242e-19 t=42928
zhe 	着	c=9 d=6.77403e-07 t=42928
zhe 	者	c=3 d=0.00990218 t=42928
zhe 	這	c=129 d=2.08318 t=42928
zhe ba 	這把	c=1 d=7.16411e-48 t=42928
zhe bian 	這邊	c=67 d=3.2475e-07 t=42928
zhe bu 	這不	c=0 d=9.46424e-60 t=42928
zhe bu fen 	這部分	c=4 d=8.52551e-36 t=42928
zhe bu jiu 	這不就	c=1 d=9.51168e-59 t=42928
zhe bu shi 	這不是	c=1 d=2.38716e-60 t=42928
zhe cai 	這才	c=1 d=7.89579e-45 t=42928
zhe ceng 	這層	c=2 d=1.25314e-37 t=42928
zhe che 	這車	c=3 d=1.60882e-51 t=42928
zhe ci 	這次	c=20 d=0.109018 t=42928
zhe dei 	這得	c=1 d=8.57089e-69 t=42928
zhe dong xi 	這東西	c=2 d=8.58924e-06 t=42928
zhe dou 	這都	c=2 d=4.34244e-11 t=42928
zhe duan shi jian 	這段時間	c=1 d=0.0597501 t=42928
zhe eng 	着嗯	c=1 d=2.36228e-25 t=42928
zhe ge 	這個	c=592 d=3.02714 t=42928
zhe ge di fang 	這個地方	c=2 d=8.84151e-23 t=42928
zhe ge dian 	這個點	c=1 d=1 t=39227
zhe ge dian er 	這個點兒	c=1 d=4.21912e-25 t=42928
zhe ge dong xi 	這個東西	c=1 d=1.54486e-58 t=42928
zhe ge jia ge 	這個價格	c=1 d=1 t=41564
zhe ge luo ji 	這個邏輯	c=1 d=7.54835e-45 t=42928
zhe ge men er 	這哥們兒	c=4 d=2.45618e-13 t=42928
zhe ge ren 	這個人	c=3 d=6.43496e-07 t=42928
zhe ge shi 	這個事	c=1 d=3.78619e-16 t=42928
zhe ge shi er 	這個事兒	c=19 d=0.00527382 t=42928
zhe ge shi sha 	這個是啥	c=1 d=2.13639e-19 t=42928
zhe ge wen ti 	這個問題	c=1 d=3.91626e-31 t=42928
zhe ge yue 	這個月	c=2 d=1.98511 t=40033
zhe hai you 	這還有	c=1 d=1.67319e-85 t=42928
zhe hai zi 	這孩子	c=1 d=0.000116223 t=42928
zhe hang 	這行	c=7 d=1.05199e-08 t=42928
zhe hua 	這話	c=1 d=5.52878e-29 t=42928
zhe ji ge 	這幾個	c=2 d=7.41449e-11 t=42928
zhe ji tian 	這幾天	c=1 d=3.49499e-45 t=42928
zhe jian shi 	這件事	c=0 d=1.23792e-12 t=42928
zhe jian shi er 	這件事而	c=1 d=1.24413e-11 t=42928
zhe jiu 	這就	c=1 d=3.4932e-39 t=42928
zhe jiu shi 	這就是	c=6 d=0.092089 t=42928
zhe kuai 	這塊	c=5 d=3.75439e-05 t=42928
zhe kuan 	這款	c=2 d=1.65953e-18 t=42928
zhe li 	這裏	c=52 d=0.0847217 t=42928
zhe li mian 	這裏面	c=4 d=1.27849e-08 t=42928
zhe lia 	這倆	c=1 d=4.89843e-46 t=42928
zhe liang 	這兩	c=0 d=5.04315e-66 t=42928
zhe liang bian 	這兩邊	c=1 d=6.31586e-36 t=42928
zhe liang ge 	這兩個	c=9 d=1.02619e-10 t=42928
zhe liang nian 	這兩年	c=1 d=5.06843e-65 t=42928
zhe liang tai 	這兩臺	c=1 d=1 t=39985
zhe liang tian 	這兩天	c=2 d=2.2386e-10 t=42928
zhe luo ji 	這邏輯	c=1 d=1.42115e-76 t=42928
zhe me 	這麼	c=20 d=0.116505 t=42928
zhe me chang 	這麼長	c=1 d=2.63365e-69 t=42928
zhe me duo 	這麼多	c=4 d=3.16185e-05 t=42928
zhe me gao 	這麼搞	c=1 d=1.16219e-33 t=42928
zhe me ge 	這麼個	c=2 d=2.89473e-34 t=42928
zhe me hao 	這麼好	c=1 d=2.21965e-57 t=42928
zhe me hou 	這麼厚	c=1 d=7.13058e-81 t=42928
zhe me jia 	這麼加	c=1 d=2.09295e-42 t=42928
zhe me jian 	這麼建	c=1 d=3.95146e-48 t=42928
zhe me jin 	這麼緊	c=1 d=7.88479e-58 t=42928
zhe me jin 	這麼近	c=1 d=3.28586e-25 t=42928
zhe me jiu 	這麼久	c=1 d=1 t=39728
zhe me kan qi lai 	這麼看起來	c=1 d=3.39353e-22 t=42928
zhe me kuai 	這麼快	c=2 d=3.25316e-25 t=42928
zhe me leng 	這麼冷	c=2 d=1.15086e-06 t=42928
zhe me pei 	這麼配	c=1 d=8.42722e-76 t=42928
zhe me shang 	這麼上	c=1 d=6.97253e-82 t=42928
zhe me shi xian 	這麼實現	c=1 d=1.20249e-81 t=42928
zhe me shuo 	這麼說	c=2 d=2.28973e-11 t=42928
zhe me wan zheng 	這麼完整	c=1 d=1.47002e-62 t=42928
zhe me xiang 	這麼想	c=1 d=2.56172e-08 t=42928
zhe me xiao 	這麼小	c=1 d=1.3914e-33 t=42928
zhe me xie 	這麼些	c=1 d=6.47134e-28 t=42928
zhe me yi xiang 	這麼一想	c=1 d=6.45003e-48 t=42928
zhe me zao 	這麼造	c=1 d=1 t=41772
zhe me zuo 	這麼做	c=2 d=3.81283e-69 t=42928
zhe ne 	着呢	c=0 d=1.42459e-76 t=42928
zhe neng 	這能	c=1 d=3.69825e-63 t=42928
zhe pi 	這批	c=1 d=1.50784e-08 t=42928
zhe pian 	這篇	c=2 d=1.10856e-36 t=42928
zhe qi 	這期	c=1 d=1.20757e-13 t=42928
zhe qi 	這起	c=1 d=1.20154e-13 t=42928
zhe san tai 	這三臺	c=1 d=6.61015e-13 t=42928
zhe shang mian 	這上面	c=1 d=2.13493e-11 t=42928
zhe shi 	這是	c=14 d=6.31499e-05 t=42928
zhe shi er 	這事兒	c=2 d=2.02522e-08 t=42928
zhe tai 	這臺	c=2 d=5.90329e-06 t=42928
zhe tao 	這套	c=3 d=2.81281e-41 t=42928
zhe tiao 	這條	c=5 d=8.67233e-31 t=42928
zhe tiao xian 	這條線	c=1 d=9.08232e-45 t=42928
zhe wan yi 	這玩意	c=1 d=1.03116e-08 t=42928
zhe xiang 	這項	c=1 d=4.65715e-40 t=42928
zhe xiao hai 	這小孩	c=1 d=4.57441e-35 t=42928
zhe xie 	這些	c=45 d=0.365844 t=42928
zhe xie ren 	這些人	c=1 d=3.95495e-29 t=42928
zhe xie zu 	這些組	c=1 d=3.59408e-21 t=42928
zhe yang 	這樣	c=74 d=0.923523 t=42928
zhe yang de hua 	這樣的話	c=2 d=4.12771e-32 t=42928
zhe yang xing 	這樣行	c=1 d=1.14489e-33 t=42928
zhe yi hang 	這一行	c=2 d=4.53521e-22 t=42928
zhe you 	這又	c=1 d=3.14716e-47 t=42928
zhe zhang 	這張	c=2 d=0.0128455 t=42928
zhe zhang tu 	這張圖	c=2 d=1.00375 t=42061
zhe zhang tu li mian 	這張圖裏面	c=1 d=1 t=41206
zhe zhong 	折衷	c=2 d=2.11902e-58 t=42928
zhe zhong 	這種	c=65 d=0.0105872 t=42928
zhe zhong shi 	這種事	c=1 d=8.08465e-29 t=42928
zhe zhou 	這周	c=5 d=8.68199e-06 t=42928
zhe zhou mo 	這週末	c=1 d=3.85009e-07 t=42928
zhen 	真	c=10 d=5.79716e-06 t=42928
zhen de 	真的	c=3 d=0.97531 t=42928
zhen dui 	針對	c=1 d=1.89442e-46 t=42928
zhen kong 	真空	c=0 d=6.42223e-57 t=42928
zhen kong tai 	真空胎	c=2 d=1.41048e-55 t=42928
zhen li hai 	真厲害	c=1 d=1.08123e-07 t=42928
zhen mei 	真沒	c=1 d=1 t=39611
zhen shi 	真實	c=2 d=0.00111936 t=42928
zhen shi 	真是	c=14 d=0.000391706 t=42928
zhen xi wang 	真希望	c=1 d=5.09313e-34 t=42928
zhen xiang 	真想	c=1 d=5.5448e-63 t=42928
zhen xiang 	真相	c=2 d=7.80235e-52 t=42928
zhen zheng 	真正	c=5 d=0.185444 t=42928
zheng 	整	c=3 d=1.11685e-06 t=42928
zheng 	正	c=1 d=2.40403e-84 t=42928
zheng biao 	整表	c=1 d=5.87047e-58 t=42928
zheng ce 	政策	c=1 d=6.22732e-17 t=42928
zheng chang 	正常	c=25 d=0.017249 t=42928
zheng chang qing kuang 	正常情況	c=1 d=5.97176e-24 t=42928
zheng en 	整嗯	c=1 d=1.99637e-45 t=42928
zheng er ba jing 	正兒八經	c=1 d=2.27715e-05 t=42928
zheng ge 	整個	c=15 d=0.303728 t=42928
zheng hao 	正好	c=2 d=1.12245e-06 t=42928
zheng he 	整合	c=6 d=0.517964 t=42928
zheng li 	整理	c=1 d=1.00201e-53 t=42928
zheng ming 	證明	c=4 d=1.26359e-17 t=42928
zheng qu 	爭取	c=2 d=7.48178e-57 t=42928
zheng que 	正確	c=6 d=9.28718e-24 t=42928
zheng shi 	正式	c=1 d=8.25895e-74 t=42928
zheng shu 	整數	c=1 d=1 t=41259
zheng shu 	證書	c=1 d=1 t=41258
zheng ti 	整體	c=16 d=0.506617 t=42928
zheng tian 	整天	c=1 d=2.11261e-05 t=42928
zheng tiao 	整條	c=1 d=3.88403e-22 t=42928
zheng wen 	正文	c=1 d=1.842e-10 t=42928
zheng xiang 	正想	c=1 d=2.74972e-47 t=42928
zheng zai 	正在	c=16 d=1.02242e-05 t=42928
zheng ze 	正則	c=2 d=5.05567e-06 t=42928
